hc1,pd1,pd2,hc2,hc3,hc4,hc5,pd4,pd5,pd6,pd7,hc8,hc9,pd8,hc7,pd10,pd9,hc10,pd11,pd12,hc11,pd13,pd14,hc12,pd15,hc13,pd16,pd17,hc14,hc15,hc16,pd18,pd19,pd20,hc17,pd21,hc18,hc19,pd22,hc20,pd23,pd24,hc21,pd25,pd26,hc22,pd27,pd29,hc23,hc24
0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,29972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,0,0,1,0,2,3,3,0,0,0,21,25287,9,0,0,1,0,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28020,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,2,1,0,0,0,0,0,0,33,1,0,1,3,7,26853,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,2,0,0,2,1,0,1,0,0,0,0
99,15,11,94,277,6,11,0,11,2,81,8,1296,4,0,553,1362,26,19,8,107,3,480,367,53,473,120,390,1878,401,28,1849,172,38,39,117,1163,93,272,1706,54,19,402,521,15,81,85,8,52,171
0,7,32,9,29,2,13,0,8,2,15,33,325,0,0,89,68,15,0,3,38,0,48,395,19,168,47,123,10552,1424,9,2263,59,44,6,15,189,110,183,875,16,32,0,181,77,185,79,32,29,296
0,0,0,5,3,0,0,0,1,3,3,3,17,0,0,1,10,0,0,0,4,2,12,70,1,46,16,72,21786,108,3,582,54,6,5,26,15,12,25,263,8,3,5,339,30,5,28,11,46,82
1,0,1,1,1,0,0,0,0,0,0,0,12,0,0,2,4,0,1,0,3,1,2,17,0,24,4,21,14315,24,1,93,32,1,1,84,12,6,8,138,5,1,8,137,29,0,9,2,66,28
7,0,3,191,249,1,7,1,26,0,18,13,1058,4,0,23,94,103,5,1,222,6,377,110,8,95,33,434,731,181,23,379,164,77,4,7495,144,20,103,1225,57,30,45,41,19,233,38,1,38,55
183,5,8,307,87,40,2,14,58,24,4,19,114,90,0,87,98,53,64,48,35,163,253,35,32,6,23,902,221,85,16,1,12,24,3,4364,12,8,36,35,53,6,94,54,27,103,13,5,113,74
9,0,13,97,98,9,4,1,63,17,4,12,70,25,0,16,27,176,4,22,123,57,207,16,7,5,7,162,43,15,20,7,12,23,2,15969,4,10,30,88,43,5,3,4,94,340,23,1,37,44
